Material_Type,Strength_PSI,Weight_Capacity_KG,Biodegradability_%,CO2_Emission_Score_%,Recyclability_%,Cost_per_KG_USD
Molded Pulp,2786.8,14.36,91.86,,95.89,1.15
Hemp Fiber,6839.86,8.81,93.46,17.59,88.36,2.37
PHA Bioplastic,5494.22,5.29,97.88,46.52,47.81,2.77
Cotton Fiber,3723.24,15.65,92.05,45.37,71.44,
Corrugated Cardboard,5354.3,32.12,82.61,37.99,89.53,
Bamboo Fiber,5748.9,27.97,90.5,22.56,88.62,1.32
Kraft Paper,7875.89,7.22,85.72,38.3,79.97,0.96
Starch-Based Packaging,3979.77,1.72,95.09,31.99,80.05,1.1
Recycled PET (rPET),11508.14,26.59,17.72,49.02,80.08,1.28
Plywood (Lightweight),11891.09,60.97,51.9,61.05,56.15,2.99
Bamboo Fiber,3525.37,7.73,95.73,24.97,86.54,0.82
PLA Bioplastic,9410.33,13.6,60.61,64.17,64.8,2.32
Hemp Fiber,6812.15,3.59,87.49,24.16,79.09,1.33
PLA Bioplastic,,8.51,68.89,43.13,65.0,1.81
Recycled PET (rPET),7623.28,5.59,8.17,,77.55,1.84
Recycled Paperboard,4267.88,4.74,76.37,29.99,93.37,1.25
Cotton Fiber,4164.17,6.94,88.56,46.94,68.86,2.85
Cotton Fiber,5162.03,8.88,85.23,45.17,77.29,2.63
Bamboo Fiber,5661.6,3.19,86.02,36.46,80.59,1.58
Corrugated Cardboard,4817.69,26.21,75.32,51.88,93.96,0.6
Recycled Paperboard,4477.83,15.91,89.42,46.73,88.05,1.28
Corrugated Cardboard,6708.33,6.12,79.1,50.04,,1.19
Cotton Fiber,4891.66,14.25,83.84,55.98,67.04,1.89
Kraft Paper,7459.8,18.17,90.22,35.97,76.92,0.44
Hemp Fiber,6587.71,17.21,,27.54,80.97,1.96
Molded Pulp,2933.12,7.56,85.53,38.12,96.89,1.4
Aluminum Packaging,13486.1,10.31,2.42,87.78,95.5,3.72
Kraft Paper,,3.93,82.92,30.09,84.58,0.81
Molded Pulp,3747.48,15.67,89.74,32.43,90.55,0.99
Cotton Fiber,5498.54,16.59,85.4,57.28,67.91,1.68
Mushroom Mycelium,2480.17,12.62,96.99,21.76,,2.75
Hemp Fiber,4916.1,8.65,89.58,19.37,82.66,1.92
Aluminum Packaging,14058.05,31.05,3.28,81.6,,2.85
Bamboo Fiber,5284.19,25.81,95.13,30.47,76.59,1.74
PLA Bioplastic,,8.1,82.62,40.43,51.33,2.41
Kraft Paper,4570.17,7.51,,48.69,77.84,0.61
Mushroom Mycelium,3287.6,10.5,96.31,14.16,75.31,2.72
PLA Bioplastic,8633.68,8.82,68.81,49.37,71.51,2.52
PLA Bioplastic,6458.83,1.86,77.98,50.73,68.8,3.03
Aluminum Packaging,16852.2,14.92,0.12,85.42,,2.55
Recycled Paperboard,4776.83,11.84,72.56,48.25,88.03,0.61
Cotton Fiber,4255.55,3.2,92.67,33.66,74.8,2.33
PLA Bioplastic,6318.88,11.39,72.91,,68.38,
Kraft Paper,5587.57,3.78,79.67,27.33,80.25,0.44
Recycled PET (rPET),8150.28,21.83,,65.16,74.61,1.85
Bagasse Fiber,3854.28,,92.7,33.4,85.11,0.82
Cotton Fiber,4610.2,15.42,87.96,52.46,71.77,2.22
Mushroom Mycelium,1027.4,14.52,95.74,15.33,73.97,1.92
Plywood (Lightweight),11476.95,59.55,71.49,54.88,62.52,2.9
Aluminum Packaging,16747.82,40.38,4.12,72.66,,4.11
Aluminum Packaging,,49.34,1.99,77.55,96.53,4.22
Recycled PET (rPET),10071.08,17.36,,49.21,81.84,2.32
Mushroom Mycelium,1946.89,5.91,99.23,20.89,75.52,
Kraft Paper,6642.72,15.12,90.11,40.66,84.48,0.85
Starch-Based Packaging,3390.87,8.6,,33.19,71.46,1.73
PHA Bioplastic,8562.24,,86.66,48.13,61.62,3.35
Cotton Fiber,4519.35,12.47,,58.23,64.03,
Kraft Paper,5112.14,22.84,,35.82,84.48,0.7
Hemp Fiber,5480.83,12.3,89.22,24.35,78.54,1.68
PHA Bioplastic,5260.28,,82.79,39.32,58.94,3.38
PHA Bioplastic,6081.16,9.65,91.93,51.17,49.07,2.7
Kraft Paper,6465.6,20.06,93.86,35.57,,0.96
PHA Bioplastic,7291.76,3.38,91.41,,,
Mushroom Mycelium,,,98.18,14.21,73.09,1.84
Molded Pulp,2746.49,16.28,99.2,32.61,91.99,0.64
Molded Pulp,1546.28,7.17,93.19,33.28,85.48,0.97
Aluminum Packaging,17319.76,35.91,1.31,64.31,93.31,2.78
Mushroom Mycelium,1545.23,12.15,98.4,25.19,71.18,1.54
Mushroom Mycelium,3090.65,1.64,97.48,25.06,,
Mushroom Mycelium,1281.9,3.72,98.01,25.77,73.72,2.72
Kraft Paper,7369.62,21.5,94.01,33.09,87.94,0.54
Molded Pulp,2543.7,5.14,87.77,35.57,91.06,1.12
Bamboo Fiber,6633.72,4.93,92.71,21.07,85.58,1.67
Bagasse Fiber,3626.36,3.18,94.64,30.33,87.46,1.18
PLA Bioplastic,8758.13,8.6,65.02,55.24,65.56,2.36
Molded Pulp,2496.56,8.72,87.08,22.6,96.34,0.67
Recycled PET (rPET),7212.19,16.22,11.76,70.79,73.31,1.78
Recycled Paperboard,4597.7,18.95,77.48,39.49,86.47,1.07
Cotton Fiber,3307.99,6.29,91.49,43.76,61.27,2.28
Kraft Paper,4046.92,19.45,84.54,44.69,83.2,0.61
Corrugated Cardboard,5504.02,9.09,70.61,40.77,94.9,0.77
Aluminum Packaging,17487.8,13.95,,61.37,85.17,3.32
Kraft Paper,7577.54,21.52,76.45,37.12,89.44,0.41
Molded Pulp,2601.68,8.94,95.12,,88.6,0.93
Recycled Paperboard,4332.5,33.76,,32.49,80.35,1.17
